lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,total_of_special_requests
290,4,6,2,0,0,0,0,0,0,0
1,2,0,1,0,0,0,0,1,0,0
2,1,1,2,0,0,0,0,0,0,0
126,2,4,2,0,0,0,0,1,0,2
9,2,2,3,0,0,0,0,0,0,1
19,0,1,3,0,0,0,0,0,0,0
28,0,2,2,0,0,0,0,2,0,4
19,2,4,2,2,0,0,0,0,0,0
54,1,0,1,0,0,1,10,0,0,0
3,0,1,1,0,0,0,0,0,0,0
1,0,3,1,0,0,0,0,0,0,2
134,1,5,2,2,0,0,0,0,0,2
19,0,4,2,0,0,0,0,0,0,1
197,1,1,2,0,0,0,0,0,0,0
98,0,1,2,0,0,0,0,0,0,1
61,2,0,1,0,0,0,0,0,0,0
9,1,3,2,0,0,0,0,0,0,2
88,1,3,3,0,0,0,0,0,0,1
244,2,5,2,0,0,0,0,0,0,2
252,1,3,3,0,0,0,0,0,0,1
25,0,3,2,0,0,0,0,1,0,0
69,2,4,2,0,0,0,0,0,0,1
42,0,3,3,0,0,0,0,0,0,1
3,0,2,2,0,0,0,1,0,0,0
60,2,2,2,0,0,0,0,0,0,1
243,2,3,1,0,0,0,0,0,0,0
47,2,5,2,0,0,0,0,0,0,0
350,0,3,2,0,0,0,0,0,0,0
189,1,3,2,0,0,0,0,1,0,2
7,2,5,2,0,0,0,0,0,0,0
12,2,2,2,0,0,0,0,0,0,2
41,1,4,2,0,0,0,0,0,0,0
223,2,3,2,0,0,0,0,0,0,0
1,0,1,2,0,0,0,0,0,0,0
226,2,5,2,0,0,0,0,0,0,1
171,1,2,2,0,0,0,0,0,0,0
81,0,2,2,1,0,0,0,0,0,1
158,0,3,2,1,0,0,0,1,0,1
2,0,1,2,0,0,0,0,0,0,0
7,0,2,1,0,0,0,0,0,0,0
83,2,3,2,0,0,0,0,0,0,2
77,1,1,2,0,0,0,0,1,0,1
301,4,13,2,0,0,0,0,0,0,2
113,1,4,2,0,0,0,0,0,0,0
9,0,1,2,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0
51,2,3,1,0,0,0,0,0,0,2
97,2,0,2,0,1,0,0,1,0,1
287,0,2,2,0,0,0,0,0,0,2
36,0,4,2,0,0,0,0,0,0,1
3,2,1,2,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,0,0,0
137,1,3,2,0,0,0,0,0,0,0
20,0,2,2,0,0,0,0,0,0,1
69,2,3,2,0,0,0,0,0,0,0
45,0,2,2,0,0,0,0,0,0,1
0,1,1,2,0,0,0,0,0,0,1
25,0,1,1,0,0,0,0,1,0,0
53,1,2,1,0,0,0,0,0,0,1
129,2,5,2,1,0,0,0,2,0,2
29,0,3,2,0,0,0,0,0,0,1
44,2,2,2,0,0,0,0,0,0,0
13,1,2,2,0,0,0,0,0,0,1
65,1,2,3,0,0,0,0,0,0,1
19,0,2,3,0,0,0,0,3,0,2
2,1,1,1,0,0,0,0,0,0,2
329,2,10,2,0,0,0,0,0,0,2
9,0,1,2,0,0,0,0,0,0,1
27,1,3,2,0,0,0,0,0,0,0
172,1,2,2,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,0
53,2,3,3,0,0,0,0,0,0,1
189,0,4,2,0,0,0,0,6,0,1
11,0,1,2,0,0,0,1,0,0,2
23,2,5,2,0,0,0,0,1,0,0
20,2,2,2,0,0,0,0,0,0,1
5,1,0,1,0,0,0,6,0,0,1
1,0,1,2,0,0,0,0,1,0,2
237,2,5,2,2,0,0,0,1,0,0
217,0,2,2,0,0,0,0,0,0,1
297,0,4,2,0,0,0,0,0,0,2
87,2,1,1,0,0,0,0,0,0,0
49,0,1,1,0,0,0,0,0,0,1
35,0,2,2,0,0,0,0,0,0,0
72,0,4,2,0,0,0,0,0,0,1
10,0,3,1,0,0,0,0,0,0,0
190,2,5,1,0,0,0,0,0,0,0
51,1,2,2,0,0,0,0,1,0,1
44,1,3,2,0,0,0,0,0,0,0
11,2,2,2,0,0,0,0,0,0,1
241,2,2,2,0,0,0,0,0,0,2
11,0,2,1,0,0,0,0,3,0,0
24,2,2,2,0,0,0,0,1,0,0
0,0,4,2,1,0,0,0,0,0,1
268,2,5,2,1,0,0,0,0,0,0
278,4,10,2,0,0,0,0,0,0,1
93,2,5,3,1,0,0,0,0,0,1
311,0,4,0,2,0,0,0,2,0,0
23,0,1,2,0,0,0,0,0,0,2
22,2,3,2,1,0,0,0,0,0,3
41,1,2,2,0,0,0,0,1,0,0
52,0,1,2,0,0,0,0,0,0,1
2,0,1,1,0,0,0,7,0,0,1
102,0,1,2,0,0,0,0,0,0,0
13,1,4,2,0,0,0,0,0,0,0
58,0,1,2,0,0,0,0,0,0,0
133,1,2,2,0,0,0,0,0,0,0
18,1,0,2,0,0,0,0,0,0,1
19,1,1,2,0,0,0,0,0,0,0
10,1,1,3,0,0,0,0,0,0,0
61,2,1,3,0,0,0,0,0,0,0
0,0,1,2,0,0,0,2,0,0,0
99,2,10,2,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,0,0,2
0,0,2,2,0,0,0,0,0,0,0
2,0,2,2,2,0,0,0,3,0,1
0,0,1,1,0,0,0,0,0,0,0
142,0,3,2,1,0,0,0,0,0,0
306,2,5,2,2,0,0,0,0,0,1
0,1,0,2,1,0,0,0,0,0,0
321,0,2,2,0,0,2,0,0,0,0
18,0,1,2,0,0,0,1,1,0,3
16,1,3,2,0,0,0,0,1,0,0
76,2,5,2,0,0,0,0,0,0,1
208,0,3,2,0,0,0,0,0,0,2
297,1,1,1,0,0,1,0,0,0,0
65,0,1,2,0,0,0,0,0,0,1
15,1,4,2,0,0,0,0,0,0,0
2,1,2,2,0,0,0,1,0,0,4
4,1,0,1,0,0,0,2,0,0,2
24,0,2,2,0,0,0,0,0,0,0
1,1,0,2,0,0,0,0,0,0,1
0,0,1,1,0,0,0,19,0,0,2
3,0,3,2,0,0,0,5,1,0,1
34,1,3,2,0,1,0,0,1,0,3
1,1,4,1,2,0,0,0,0,0,2
29,1,3,2,1,0,0,0,0,0,2
42,1,1,2,1,0,0,0,1,0,0
30,1,3,2,0,0,0,0,0,0,2
89,2,3,3,0,0,0,0,0,0,0
59,1,1,2,0,0,0,0,0,0,2
19,2,3,2,0,0,0,0,0,0,1
104,0,3,2,0,0,0,0,0,0,2
63,1,2,2,0,0,0,0,0,0,2
77,1,3,2,0,0,0,0,0,0,0
1,1,0,2,0,0,0,0,0,0,0
14,1,2,2,0,0,0,0,0,0,2
92,0,2,3,0,0,0,0,0,0,0
46,0,2,2,0,0,0,0,0,0,2
186,0,3,2,0,0,0,0,1,0,0
58,0,1,2,1,0,0,0,0,0,1
29,0,1,2,0,0,0,0,1,0,0
10,0,2,2,0,0,0,0,0,0,0
95,0,4,2,0,0,0,0,0,0,0
3,2,2,1,0,0,0,0,0,0,1
168,2,4,2,0,0,0,0,0,0,1
82,1,0,2,0,0,0,0,0,0,1
89,2,2,2,0,0,0,0,0,0,1
41,1,2,2,0,0,0,0,0,0,1
33,0,2,1,0,0,0,0,3,0,1
348,2,3,2,0,0,0,0,0,0,2
14,0,1,3,0,0,0,1,0,0,1
247,2,2,2,0,0,0,0,0,0,1
50,2,4,2,0,0,0,0,0,0,2
11,0,2,2,2,0,0,0,0,0,0
37,2,0,2,0,0,0,0,0,0,0
8,1,1,2,0,0,0,0,0,0,1
20,0,4,2,0,0,0,0,1,0,2
15,2,1,2,0,0,0,0,0,0,1
29,1,3,2,0,0,0,0,1,0,1
23,0,1,2,0,0,0,0,4,0,0
0,0,1,2,0,0,0,0,0,0,0
4,1,0,2,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0
118,4,10,1,0,0,0,0,2,0,2
209,2,5,2,0,0,0,0,0,0,1
128,0,3,2,0,0,0,0,0,0,1
171,2,3,2,2,0,0,0,0,0,0
93,2,3,3,0,0,0,0,1,0,3
28,1,5,2,0,0,0,0,0,0,2
6,2,2,2,0,0,0,0,0,0,0
194,2,1,2,0,0,0,0,1,0,1
9,1,0,2,0,0,0,0,0,0,2
57,2,6,2,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0
0,1,1,2,0,0,0,0,0,0,1
6,0,1,2,1,0,0,0,0,0,1
13,1,0,2,0,0,0,0,0,0,0
37,1,3,2,0,0,0,0,0,0,2
7,2,2,2,0,0,0,0,0,0,0
199,0,4,2,0,0,0,0,1,0,0
100,0,4,2,0,0,0,0,0,0,2
9,0,1,1,0,0,0,0,0,0,2
0,1,0,2,0,0,0,0,0,0,0
77,1,4,3,0,0,0,0,0,0,2
13,1,1,2,0,0,0,0,0,0,1
23,0,4,2,0,0,0,0,0,0,0
276,1,1,1,0,0,1,0,0,0,0
16,0,2,2,0,0,0,0,0,0,1
25,0,1,2,0,0,0,0,1,0,0
19,1,0,2,0,0,0,0,0,0,1
14,1,2,1,0,0,0,1,0,0,0
17,2,7,2,0,0,0,0,1,0,0
140,0,3,2,0,0,0,0,0,87,1
34,2,5,2,0,0,0,0,0,0,0
165,0,4,1,0,0,0,0,5,122,0
0,0,1,3,0,0,0,0,0,0,0
29,2,3,1,0,0,0,0,1,0,2
85,0,4,2,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,1,0,0
2,0,1,1,0,0,0,0,0,0,0
19,2,4,2,0,0,0,0,0,0,1
19,2,1,2,0,0,0,0,0,0,0
145,0,5,2,0,0,0,0,0,0,1
171,3,6,2,0,0,0,0,0,0,1
24,0,2,2,0,0,0,0,0,0,2
10,0,1,2,0,0,0,0,0,0,1
25,2,5,2,0,0,0,0,0,0,0
8,2,2,2,0,0,0,0,0,0,1
12,0,0,2,0,0,0,0,0,0,2
128,2,4,2,2,0,0,0,0,0,2
270,1,3,2,0,0,0,0,0,0,0
12,0,2,2,0,0,0,0,1,0,0
33,2,3,1,0,0,0,0,0,0,1
27,2,2,2,0,0,0,0,0,0,0
183,0,3,2,0,0,0,0,1,0,0
6,2,1,1,0,0,0,0,3,0,2
133,1,1,2,0,0,0,0,0,0,2
22,1,3,1,0,0,0,0,0,0,3
203,1,3,2,0,0,0,0,2,0,2
11,1,2,2,0,0,0,0,0,0,0
166,0,4,2,0,0,0,0,0,0,0
386,2,5,3,0,0,0,0,1,0,1
88,2,4,2,0,0,0,0,1,0,0
49,1,2,2,0,0,0,0,0,0,1
46,0,4,2,0,0,0,0,1,0,0
152,1,4,2,0,0,0,0,0,0,2
297,0,1,2,0,0,0,0,0,0,1
117,1,3,2,0,0,0,0,0,0,2
88,4,7,2,0,0,0,0,0,0,2
17,0,3,2,0,0,0,0,0,0,0
146,0,2,2,2,0,0,0,0,0,0
304,4,10,2,2,0,0,0,0,0,1
115,1,3,2,0,0,0,0,0,0,1
21,2,2,2,0,0,0,0,0,0,1
67,0,3,2,0,0,0,0,0,0,0
6,1,1,2,2,0,0,0,0,0,1
90,1,3,2,0,0,0,0,0,0,1
26,2,5,1,0,0,0,0,0,0,3
115,2,3,1,0,0,0,0,1,0,0
29,0,2,2,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0
57,1,4,2,0,0,0,0,0,0,2
119,2,5,2,1,0,0,0,1,0,1
130,1,3,2,0,0,0,0,0,0,0
52,3,6,2,0,0,0,0,0,0,0
135,2,4,2,0,0,0,0,3,0,1
209,2,1,3,0,0,0,0,0,0,2
1,0,2,2,1,0,0,0,1,0,1
7,1,3,1,0,0,0,0,1,0,0
107,2,1,2,0,0,0,0,0,0,1
39,1,3,3,0,0,0,0,0,0,1
27,1,3,2,0,0,0,0,0,0,1
22,2,5,2,2,0,0,0,1,0,2
210,2,5,2,0,0,0,0,0,0,2
3,0,1,2,0,0,0,0,0,0,0
62,1,1,2,0,0,0,0,0,0,1
195,0,2,2,0,0,0,0,1,0,0
75,0,2,1,1,0,0,0,2,0,1
55,0,1,1,0,0,0,0,0,0,0
59,2,1,2,1,0,0,0,0,0,0
8,1,3,2,0,0,0,0,0,0,3
49,2,1,2,0,0,0,0,0,0,2
0,1,0,1,0,0,0,1,0,0,0
97,2,2,2,0,0,0,0,0,0,0
6,1,1,2,2,0,0,0,0,0,2
1,1,1,2,0,0,0,0,2,0,2
14,1,3,2,0,0,0,0,0,0,1
59,2,0,3,0,0,0,0,0,0,0
181,0,2,2,0,0,1,0,0,0,3
38,0,2,2,0,0,0,0,0,0,2
215,0,4,1,0,0,0,0,1,0,2
11,1,2,2,0,0,0,0,0,0,0
11,0,2,1,0,0,0,0,0,0,1
32,0,4,2,1,0,0,0,0,0,1
1,0,1,2,0,0,0,0,1,0,0
57,0,2,2,0,0,0,0,0,0,0
91,1,2,2,0,0,0,0,0,0,0
36,2,3,2,0,0,0,0,0,0,0
312,2,5,2,0,0,0,0,0,0,1
68,0,4,2,0,0,0,0,0,0,1
137,2,4,2,0,0,0,0,0,0,0
42,2,2,2,2,0,0,0,0,0,0
48,0,2,2,2,0,0,0,0,0,1
150,0,1,2,0,0,0,0,0,0,0
6,1,0,2,0,0,0,0,0,0,1
100,1,3,2,1,0,0,0,1,0,0
32,2,3,2,0,0,0,0,2,0,1
197,1,5,2,0,0,1,0,0,0,1
16,0,4,2,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0
1,0,1,2,0,0,11,0,0,0,0
0,0,1,2,1,0,0,0,1,0,0
26,0,4,2,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0
247,2,5,2,0,0,0,0,0,0,2
86,0,1,1,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0
112,1,0,1,0,0,0,0,0,0,0
225,1,1,2,0,0,0,0,0,0,0
220,2,1,2,0,0,0,0,1,0,1
146,0,1,3,0,0,0,0,0,0,0
29,0,2,2,0,0,0,0,0,0,3
164,1,3,2,1,0,0,0,0,0,0
187,2,2,2,0,0,0,0,0,0,1
114,1,3,2,1,0,0,0,0,0,1
103,2,5,2,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,1
121,2,3,2,0,0,0,0,0,0,0
165,2,1,2,0,0,1,0,0,0,0
41,0,3,2,0,0,0,0,0,0,1
0,0,1,2,0,0,0,0,0,0,0
81,2,2,2,0,0,0,0,0,0,0
87,0,3,2,0,0,0,0,0,0,1
121,1,2,2,0,0,0,0,0,0,0
77,0,3,2,0,0,0,0,0,0,0
10,0,1,2,0,0,0,0,0,0,1
198,2,2,2,0,0,0,0,0,0,2
90,2,2,2,0,0,0,0,1,0,1
187,2,5,2,0,0,0,0,0,0,1
79,0,3,2,0,0,0,0,0,0,0
73,0,3,2,0,0,1,0,0,0,0
103,0,2,2,0,0,0,0,0,0,1
212,2,3,1,0,0,0,0,1,0,1
170,2,4,2,0,0,0,0,0,0,1
43,2,4,2,0,0,0,0,0,0,1
3,0,2,2,0,0,0,0,0,0,1
0,0,1,2,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0
38,2,1,3,0,0,0,0,0,0,0
1,1,0,2,0,0,0,0,0,0,0
37,2,7,1,0,0,0,0,0,0,0
164,4,10,2,0,0,0,0,0,0,2
42,1,0,2,0,0,0,0,0,0,0
27,2,5,2,0,0,0,0,0,0,2
87,0,1,2,2,0,0,0,0,0,0
81,1,2,2,0,0,0,0,2,0,0
169,0,4,2,0,0,0,0,0,0,0
31,1,1,2,0,0,0,0,0,0,0
47,0,2,2,0,0,0,0,0,0,1
33,1,2,1,0,0,0,0,1,0,0
0,0,1,2,0,0,0,0,0,0,0
5,0,1,1,0,0,0,0,0,0,1
11,1,3,1,0,0,1,0,0,0,0
10,1,2,1,0,0,0,0,0,0,0
21,1,2,2,0,0,0,0,0,0,0
139,0,3,2,0,0,0,0,1,0,2
247,1,1,1,0,0,0,0,1,0,0
65,0,1,2,0,0,0,0,0,0,0
50,2,2,2,0,0,0,0,1,0,0
153,0,4,2,0,0,0,0,0,0,2
37,2,1,1,0,0,0,0,2,0,1
72,0,3,2,0,0,0,0,0,0,0
14,0,1,1,0,0,0,0,1,0,0
5,0,1,1,0,0,0,0,1,0,1
64,1,5,2,0,0,0,0,0,0,1
4,1,0,1,0,0,0,0,0,0,0
105,2,2,1,0,0,0,0,0,0,0
0,0,1,1,0,0,0,2,0,0,0
29,2,5,2,0,0,0,0,0,0,0
45,1,2,2,0,0,0,0,0,0,0
13,0,2,2,0,0,0,0,0,0,1
103,1,3,2,0,0,0,0,0,0,0
124,2,2,1,0,0,0,0,0,0,3
15,0,2,2,0,0,0,0,0,0,2
37,2,1,2,0,0,0,0,0,0,2
260,2,3,2,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,1
85,0,3,3,0,0,0,0,0,0,1
33,0,5,2,0,0,0,0,0,0,1
56,1,0,2,2,0,0,0,0,0,0
47,1,3,2,0,0,0,0,2,0,0
135,2,1,1,0,0,0,0,1,0,0
211,0,2,2,0,0,0,0,0,0,1
45,1,1,2,0,0,0,0,0,0,0
30,0,1,2,0,0,0,0,0,0,1
29,2,4,2,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0
68,2,1,2,0,0,0,0,0,0,1
152,0,5,2,0,0,0,0,0,0,2
0,0,1,2,0,0,0,0,0,0,0
150,0,4,2,0,0,0,0,0,0,1
24,0,4,2,0,0,0,0,0,0,2
47,2,3,3,0,0,0,0,0,0,0
46,1,3,2,0,0,0,0,1,0,1
294,2,5,2,0,0,0,0,0,0,1
248,2,3,2,0,0,0,0,0,0,2
41,2,1,2,0,0,0,0,0,0,0
15,0,2,2,0,0,0,0,0,0,0
208,0,2,2,0,0,0,0,0,0,0
28,0,1,2,0,0,0,0,0,0,0
56,2,3,2,0,0,0,0,0,0,1
137,2,1,2,1,0,0,0,0,0,3
37,0,4,3,1,0,0,0,1,0,1
0,0,1,1,0,0,0,0,0,0,0
69,0,1,1,0,0,0,0,1,0,0
39,0,2,2,0,0,0,0,0,0,1
13,0,1,1,0,0,0,1,0,0,0
151,1,3,2,0,0,0,0,0,0,0
10,0,2,2,0,0,0,0,0,0,0
0,0,1,1,0,0,1,9,1,0,2
1,0,1,1,0,0,0,0,0,0,0
151,0,3,1,0,0,0,0,1,63,0
56,2,3,2,0,0,0,0,0,0,1
27,1,0,2,0,0,0,0,0,0,0
203,0,5,1,0,0,0,0,0,0,0
16,0,2,2,0,0,0,0,0,0,1
57,2,6,2,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,0,0
7,0,0,1,0,0,0,1,0,0,1
43,0,3,2,0,0,0,0,0,0,1
65,0,3,2,0,0,0,0,0,0,3
8,2,5,2,0,0,0,0,0,0,0
82,0,3,2,0,0,0,0,0,0,0
123,1,3,2,0,0,0,0,0,0,1
130,2,2,2,0,0,0,0,0,0,1
103,1,2,2,0,0,0,0,0,0,1
42,2,2,2,1,0,0,0,1,0,1
21,0,3,2,2,0,0,0,0,0,0
0,1,0,2,0,0,0,1,0,0,0
61,2,0,2,0,0,0,0,0,0,0
232,1,1,2,0,0,0,0,0,0,1
176,2,5,3,0,0,0,0,1,0,0
11,0,2,1,0,0,0,0,1,0,0
68,0,3,3,0,0,0,0,0,0,1
133,2,5,2,0,0,0,0,0,0,0
53,1,3,2,0,0,0,0,0,0,1
1,2,4,1,0,0,0,0,0,0,0
25,1,1,3,0,0,0,0,3,0,0
28,0,2,2,0,0,0,0,0,0,0
12,0,1,2,0,0,0,0,0,0,1
0,0,1,1,0,0,0,4,0,0,0
38,1,0,2,0,0,0,0,0,0,0
23,0,2,2,0,0,0,0,0,0,2
94,2,4,1,0,0,0,0,3,0,3
207,2,5,2,0,0,0,0,0,0,1
0,0,1,2,0,0,0,0,0,0,0
164,2,5,2,0,0,0,0,0,0,1
21,1,1,1,0,0,0,0,0,0,0
29,2,6,1,0,0,0,0,1,0,0
3,0,2,2,0,0,0,0,0,0,0
81,2,5,2,1,0,0,0,0,0,2
35,2,3,2,0,0,0,0,0,0,2
121,2,1,1,0,0,0,0,0,0,1
144,0,3,2,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,2
180,2,0,2,0,0,0,0,0,0,0
17,0,2,2,0,0,0,0,0,0,1
140,0,4,2,0,0,0,0,0,0,1
31,2,1,2,0,0,0,0,0,0,1
9,0,1,2,0,1,0,3,0,0,1
55,0,3,1,0,0,0,0,0,0,0
135,1,1,2,0,0,0,0,0,0,1
0,0,1,2,0,0,0,0,0,0,0
5,2,3,2,0,0,0,0,0,0,0
16,0,2,3,0,0,0,0,0,0,1
91,2,2,2,0,0,0,0,0,0,1
4,0,1,2,0,0,11,5,0,0,1
3,0,1,1,0,0,0,0,2,0,0
91,2,3,3,1,0,0,0,0,0,0
20,0,4,2,0,0,0,0,0,0,0
462,2,1,2,0,0,0,0,0,0,0
63,1,1,2,0,0,0,0,0,0,0
3,1,2,2,2,0,0,0,0,0,2
151,0,3,1,0,0,0,0,1,63,0
3,2,3,1,0,0,0,0,0,0,0
310,4,10,2,0,0,0,0,0,0,0
2,0,1,2,0,0,0,0,1,0,0
28,0,3,1,0,0,0,0,0,0,0
182,0,0,2,1,0,0,0,0,0,1
90,2,5,2,0,0,0,0,0,0,0
28,0,1,1,0,0,0,0,0,0,1
296,4,8,2,0,0,0,0,0,0,1
130,4,10,2,0,0,0,0,0,0,1
13,1,1,2,0,0,0,0,1,0,1
23,2,3,2,0,0,0,0,0,0,1
105,1,2,2,0,0,0,0,0,0,1
2,0,1,1,0,0,0,0,0,0,0
19,0,4,2,0,0,1,0,0,0,0
1,0,1,2,0,0,0,0,2,0,0
72,2,0,2,0,0,0,0,0,0,1
1,0,1,2,0,0,0,0,0,0,1
107,2,2,2,0,0,0,0,0,0,2
119,1,2,2,0,0,0,0,1,0,1
125,2,2,2,0,0,0,0,0,0,0
13,2,2,2,0,0,0,0,0,0,1
2,0,2,2,0,0,0,0,2,0,1
0,0,1,2,0,0,0,0,0,0,0
44,2,0,2,0,0,0,0,0,0,0
46,0,2,2,0,0,0,0,0,0,0
16,1,0,2,0,0,0,0,0,0,0
135,0,3,2,0,0,0,0,0,0,0
180,2,1,3,0,0,0,0,0,0,3
86,1,3,2,0,0,0,0,0,0,1
169,2,1,2,0,0,0,0,0,0,1
175,1,2,2,0,0,0,0,0,0,2
22,1,1,2,0,0,0,0,0,0,1
223,4,10,2,0,0,0,0,0,0,2
116,2,5,2,0,0,0,0,0,0,1
148,1,3,2,0,0,0,0,0,0,0
241,1,3,3,0,0,0,0,0,0,2
219,0,4,0,2,0,0,0,0,0,0
44,2,1,3,0,0,0,0,0,0,0
82,0,2,2,0,0,0,0,0,0,0
184,0,1,2,0,0,0,0,0,0,1
26,2,5,2,0,0,0,0,0,0,0
31,1,4,2,1,0,0,0,1,0,2
2,0,2,1,0,0,0,0,0,0,0
129,1,3,2,0,0,0,0,0,0,2
5,1,1,1,0,0,0,0,0,0,0
76,2,4,0,2,0,0,0,0,0,2
6,0,2,1,0,0,0,1,0,0,1
88,2,5,3,0,0,0,0,2,0,1
3,0,2,2,1,0,0,0,1,0,2
42,0,3,2,0,0,0,0,0,0,2
88,0,3,1,0,0,0,0,1,0,0
62,0,1,1,0,0,0,0,0,0,0
10,2,1,1,0,0,0,0,0,0,2
104,1,5,2,0,0,0,0,0,0,2
1,0,1,3,0,0,0,0,0,0,3
155,1,1,2,0,0,0,0,0,0,2
5,1,1,1,0,0,3,38,1,0,2
129,0,1,2,0,0,0,0,0,0,1
101,2,5,2,0,0,0,0,0,0,2
10,1,0,2,0,0,0,0,0,0,2
47,2,1,2,0,0,0,0,0,0,0
217,2,5,2,0,0,0,0,1,0,1
13,2,4,2,0,1,0,0,1,0,1
28,1,0,2,0,0,0,0,1,0,2
3,0,3,2,0,0,0,0,0,0,1
9,0,3,3,0,0,0,0,0,0,1
24,1,2,2,0,0,0,0,0,0,0
181,0,2,2,0,0,0,0,0,0,0
4,0,2,1,0,0,1,6,1,0,0
3,0,2,2,0,0,0,0,0,0,0
179,1,0,3,0,0,0,0,0,0,0
1,0,1,2,0,0,0,0,0,0,0
52,0,1,2,0,0,0,0,1,0,1
7,1,4,2,0,0,0,0,0,0,2
30,0,4,2,0,0,0,0,0,0,1
0,0,4,1,0,0,0,0,2,0,1
1,0,2,2,0,0,0,0,0,0,1
0,1,1,2,1,0,0,0,0,0,0
104,2,1,2,2,0,0,0,0,0,0
146,0,3,2,0,0,0,0,0,0,1
52,1,3,2,0,0,0,0,0,0,0
0,1,1,1,0,0,0,2,0,0,0
4,1,2,2,2,0,0,0,0,0,3
30,0,2,2,0,0,0,0,0,0,0
